ano,mes,secao,tipico,mov,n
2023,7,I,False,deslig,1584
2023,7,I,True,adm,34654
2023,7,I,True,deslig,31127
2023,7,J,False,adm,950
2023,7,J,False,deslig,776
2023,7,J,True,adm,10705
2023,7,J,True,deslig,11177
2023,7,K,False,adm,725
2023,7,K,False,deslig,652
2023,7,K,True,adm,7993
2023,7,K,True,deslig,7721
2023,7,L,False,adm,72
2023,7,L,False,deslig,64
2023,7,L,True,adm,1977
2023,7,L,True,deslig,1858
2023,7,M,False,adm,1436
2023,7,M,False,deslig,1625
2023,7,M,True,adm,20472
2023,7,M,True,deslig,18522
2023,7,N,False,adm,48050
2023,7,N,False,deslig,52896
2023,7,N,True,adm,86191
2023,7,N,True,deslig,83785
2023,7,O,False,adm,850
2023,7,O,False,deslig,1015
2023,7,O,True,adm,1405
2023,7,O,True,deslig,1257
2023,7,P,False,adm,2240
2023,7,P,False,deslig,2697
2023,7,P,True,adm,9100
2023,7,P,True,deslig,9455
2023,7,Q,False,adm,5595
2023,7,Q,False,deslig,5037
2023,7,Q,True,adm,24936
2023,7,Q,True,deslig,21426
2023,7,R,False,adm,744
2023,7,R,False,deslig,567
2023,7,R,True,adm,2673
2023,7,R,True,deslig,2247
2023,7,S,False,adm,3066
2023,7,S,False,deslig,2061
2023,7,S,True,adm,8629
2023,7,S,True,deslig,7900
2023,7,T,False,adm,1
2023,7,T,False,deslig,1
2023,7,T,True,adm,19
2023,7,T,True,deslig,13
2023,7,U,False,deslig,2
2023,7,U,True,adm,10
2023,7,U,True,deslig,5
2023,8,A,False,adm,1507
2023,8,A,False,deslig,972
2023,8,A,True,adm,16340
2023,8,A,True,deslig,15789
2023,8,B,False,adm,26
2023,8,B,False,deslig,7
2023,8,B,True,adm,411
2023,8,B,True,deslig,342
2023,8,C,False,adm,5280
2023,8,C,False,deslig,3136
2023,8,C,True,adm,72694
2023,8,C,True,deslig,69867
2023,8,D,False,adm,61
2023,8,D,False,deslig,26
2023,8,D,True,adm,366
2023,8,D,True,deslig,344
2023,8,E,False,adm,572
2023,8,E,False,deslig,81
2023,8,E,True,adm,2576
2023,8,E,True,deslig,2901
2023,8,F,False,adm,3239
2023,8,F,False,deslig,1862
2023,8,F,True,adm,55049
2023,8,F,True,deslig,48340
2023,8,G,False,adm,5815
2023,8,G,False,deslig,5165
2023,8,G,True,adm,127864
2023,8,G,True,deslig,115362
2023,8,H,False,adm,2180
2023,8,H,False,deslig,1669
2023,8,H,True,adm,31119
2023,8,H,True,deslig,28724
2023,8,I,False,adm,3095
2023,8,I,False,deslig,2176
2023,8,I,True,adm,38965
2023,8,I,True,deslig,34702
2023,8,J,False,adm,954
2023,8,J,False,deslig,1165
2023,8,J,True,adm,12033
2023,8,J,True,deslig,11867
2023,8,K,False,adm,900
2023,8,K,False,deslig,687
2023,8,K,True,adm,8490
2023,8,K,True,deslig,8315
