ano,mes,cbo6,faixa_sm,mov,n,sal_medio
2023,1,317205,ate_3SM,deslig,227,1890.96
2023,1,317210,3_a_6SM,adm,24,4859.32
2023,1,317210,3_a_6SM,deslig,35,5198.17
2023,1,317210,6_a_10SM,adm,7,11357.14
2023,1,317210,6_a_10SM,deslig,15,10075.29
2023,1,317210,acima_10SM,adm,1,14000.0
2023,1,317210,acima_10SM,deslig,1,16978.23
2023,1,317210,ate_3SM,adm,759,2100.3
2023,1,317210,ate_3SM,deslig,529,2089.38
2023,2,142505,3_a_6SM,adm,3,4500.0
2023,2,142505,3_a_6SM,deslig,6,5432.37
2023,2,142505,6_a_10SM,adm,10,11380.72
2023,2,142505,6_a_10SM,deslig,11,10660.88
2023,2,142505,acima_10SM,adm,24,22682.47
2023,2,142505,acima_10SM,deslig,26,22738.26
2023,2,142505,ate_3SM,adm,5,2749.38
2023,2,142505,ate_3SM,deslig,9,2858.58
2023,2,142510,3_a_6SM,adm,9,6084.42
2023,2,142510,3_a_6SM,deslig,9,6504.61
2023,2,142510,6_a_10SM,adm,17,11007.54
2023,2,142510,6_a_10SM,deslig,26,11171.43
2023,2,142510,acima_10SM,adm,70,21603.12
2023,2,142510,acima_10SM,deslig,120,22902.89
2023,2,142510,ate_3SM,adm,2,2150.0
2023,2,142510,ate_3SM,deslig,8,2671.59
2023,2,142515,3_a_6SM,adm,4,6337.0
2023,2,142515,3_a_6SM,deslig,11,5375.65
2023,2,142515,6_a_10SM,adm,8,10925.0
2023,2,142515,6_a_10SM,deslig,9,11117.27
2023,2,142515,acima_10SM,adm,11,22839.55
2023,2,142515,acima_10SM,deslig,23,21773.11
2023,2,142515,ate_3SM,adm,4,2210.73
2023,2,142515,ate_3SM,deslig,4,2217.09
2023,2,142520,3_a_6SM,adm,32,5362.14
2023,2,142520,3_a_6SM,deslig,47,6193.81
2023,2,142520,6_a_10SM,adm,69,10391.04
2023,2,142520,6_a_10SM,deslig,94,10768.77
2023,2,142520,acima_10SM,adm,107,21514.85
2023,2,142520,acima_10SM,deslig,174,20546.92
2023,2,142520,ate_3SM,adm,36,2713.64
2023,2,142520,ate_3SM,deslig,17,2786.17
2023,2,142525,3_a_6SM,adm,3,5790.4
2023,2,142525,3_a_6SM,deslig,1,4021.68
2023,2,142525,6_a_10SM,adm,6,10679.67
2023,2,142525,6_a_10SM,deslig,2,11061.0
2023,2,142525,acima_10SM,adm,10,19800.0
2023,2,142525,acima_10SM,deslig,20,23321.09
2023,2,142525,ate_3SM,adm,1,2500.0
2023,2,142525,ate_3SM,deslig,1,2536.6
2023,2,142530,3_a_6SM,adm,12,5802.36
2023,2,142530,3_a_6SM,deslig,7,6194.85
2023,2,142530,6_a_10SM,adm,5,10936.98
2023,2,142530,6_a_10SM,deslig,10,10719.11
2023,2,142530,acima_10SM,adm,15,19049.15
2023,2,142530,acima_10SM,deslig,18,19335.12
2023,2,142530,ate_3SM,adm,8,2572.03
2023,2,142530,ate_3SM,deslig,19,2710.65
2023,2,142535,3_a_6SM,adm,16,5626.93
2023,2,142535,3_a_6SM,deslig,9,5780.96
2023,2,142535,6_a_10SM,adm,12,10694.77
