ano,mes,cbo6,secao,mov,n,sal_medio
2023,3,212405,J,adm,1530,7998.47
2023,3,212405,J,deslig,1728,7839.54
2023,3,212405,K,adm,388,9055.71
2023,3,212405,K,deslig,392,10123.18
2023,3,212405,L,adm,11,9800.0
2023,3,212405,L,deslig,8,10683.73
2023,3,212405,M,adm,298,8544.47
2023,3,212405,M,deslig,320,7843.95
2023,3,212405,N,adm,196,7303.72
2023,3,212405,N,deslig,202,7490.8
2023,3,212405,O,adm,1,4517.51
2023,3,212405,O,deslig,3,6782.22
2023,3,212405,P,adm,30,5737.69
2023,3,212405,P,deslig,13,4453.15
2023,3,212405,Q,adm,63,8094.2
2023,3,212405,Q,deslig,42,6629.94
2023,3,212405,S,adm,22,6805.02
2023,3,212405,S,deslig,22,5289.8
2023,3,212410,A,adm,1,3063.0
2023,3,212410,C,adm,26,4874.72
2023,3,212410,C,deslig,20,4710.48
2023,3,212410,D,adm,1,6800.0
2023,3,212410,F,adm,18,6584.48
2023,3,212410,F,deslig,5,2451.41
2023,3,212410,G,adm,47,4648.02
2023,3,212410,G,deslig,60,4343.54
2023,3,212410,H,adm,9,6163.62
2023,3,212410,H,deslig,5,4414.09
2023,3,212410,I,adm,5,4759.2
2023,3,212410,I,deslig,2,4261.38
2023,3,212410,J,adm,221,5653.87
2023,3,212410,J,deslig,211,5488.92
2023,3,212410,K,adm,32,10009.51
2023,3,212410,K,deslig,30,8755.22
2023,3,212410,L,adm,2,3059.99
2023,3,212410,L,deslig,2,2497.97
2023,3,212410,M,adm,48,4787.23
2023,3,212410,M,deslig,63,5863.02
2023,3,212410,N,adm,67,4191.82
2023,3,212410,N,deslig,61,6991.06
2023,3,212410,P,adm,8,3921.47
2023,3,212410,P,deslig,15,4311.93
2023,3,212410,Q,adm,9,3060.15
2023,3,212410,Q,deslig,10,5160.31
2023,3,212410,R,deslig,1,4000.0
2023,3,212410,S,adm,10,4005.7
2023,3,212410,S,deslig,16,3878.6
2023,3,212425,C,adm,4,14006.45
2023,3,212425,G,adm,4,11875.0
2023,3,212425,G,deslig,2,5992.48
2023,3,212425,J,adm,23,13273.43
2023,3,212425,J,deslig,23,14824.01
2023,3,212425,K,adm,8,15075.0
2023,3,212425,K,deslig,8,13554.73
2023,3,212425,M,adm,4,15000.0
2023,3,212425,M,deslig,7,12391.08
2023,3,212425,N,adm,1,8500.0
2023,3,212425,P,adm,1,28511.76
2023,3,212425,S,adm,1,2200.0
2023,3,212425,S,deslig,3,8519.33
2023,4,203105,C,adm,3,5854.73
2023,4,203105,C,deslig,5,5652.32
2023,4,203105,F,adm,1,2000.0
2023,4,203105,G,adm,2,9000.0
2023,4,203105,G,deslig,3,10497.73
2023,4,203105,J,adm,12,5917.5
2023,4,203105,J,deslig,10,7865.16
2023,4,203105,K,adm,4,13875.0
2023,4,203105,K,deslig,1,11000.0
2023,4,203105,M,adm,9,8621.82
2023,4,203105,M,deslig,9,12054.45
2023,4,203105,N,adm,4,5175.0
2023,4,203105,N,deslig,2,11991.0
2023,4,203105,Q,adm,1,9760.47
2023,4,211205,C,adm,2,5400.0
2023,4,211205,C,deslig,2,5755.2
2023,4,211205,G,deslig,1,9700.0
2023,4,211205,H,deslig,1,2487.74
2023,4,211205,J,adm,8,5965.5
2023,4,211205,J,deslig,6,12529.89
2023,4,211205,K,adm,12,12048.63
2023,4,211205,K,deslig,11,13311.74
2023,4,211205,M,adm,6,7623.49
2023,4,211205,M,deslig,5,6565.4
2023,4,211205,N,adm,2,4250.0
2023,4,211205,N,deslig,3,6954.01
2023,4,211205,P,deslig,1,2669.44
2023,4,211205,Q,deslig,2,11628.85
2023,4,211205,R,deslig,1,6468.0
2023,4,211205,S,adm,1,2500.0
2023,4,211210,C,adm,1,4000.0
2023,4,211210,C,deslig,2,14391.55
2023,4,211210,J,deslig,1,10297.2
2023,4,211210,M,deslig,2,5182.88
2023,4,211210,N,adm,2,3882.76
2023,4,211210,N,deslig,1,7000.0
2023,4,211210,P,deslig,1,5500.0
2023,4,211210,S,adm,1,2500.0
2023,4,211215,J,adm,1,6000.0
2023,4,211215,M,deslig,1,15000.0
2023,4,211220,J,adm,1,4250.0
2023,4,211220,J,deslig,1,4250.0
2023,4,211220,K,adm,1,19000.0
2023,4,211220,Q,adm,1,7745.37
2023,4,212205,C,adm,11,11401.46
2023,4,212205,C,deslig,1,14372.1
2023,4,212205,G,adm,5,7830.24
2023,4,212205,G,deslig,8,11485.55
2023,4,212205,J,adm,52,15360.68
2023,4,212205,J,deslig,54,13274.12
2023,4,212205,K,adm,11,14012.6
2023,4,212205,K,deslig,14,14270.68
2023,4,212205,M,adm,22,12891.29
2023,4,212205,M,deslig,29,13712.85
2023,4,212205,N,adm,16,19701.1
2023,4,212205,N,deslig,5,14320.59
2023,4,212205,S,adm,1,5450.0
2023,4,212210,J,adm,1,29965.38
2023,4,212210,J,deslig,3,6399.29
2023,4,212210,M,deslig,1,24200.0
2023,4,212215,C,adm,3,11933.33
2023,4,212215,G,adm,6,10133.33
2023,4,212215,G,deslig,9,8755.49
2023,4,212215,H,deslig,1,16000.0
2023,4,212215,J,adm,103,12351.1
2023,4,212215,J,deslig,78,11929.15
2023,4,212215,K,adm,13,12322.93
2023,4,212215,K,deslig,25,15763.79
2023,4,212215,L,deslig,2,10955.86
2023,4,212215,M,adm,12,23002.65
2023,4,212215,M,deslig,9,13600.63
2023,4,212215,N,adm,22,33041.91
2023,4,212215,N,deslig,12,24382.9
2023,4,212215,P,adm,2,7591.5
2023,4,212215,R,deslig,2,7619.77
2023,4,212215,S,adm,1,19000.0
2023,4,212305,C,adm,1,10000.0
2023,4,212305,C,deslig,2,14284.5
2023,4,212305,D,adm,1,4641.14
2023,4,212305,F,adm,1,4000.0
2023,4,212305,G,adm,7,11590.0
2023,4,212305,G,deslig,7,10315.83
2023,4,212305,H,adm,2,4314.0
2023,4,212305,J,adm,41,8227.92
2023,4,212305,J,deslig,55,7805.92
2023,4,212305,K,adm,10,10638.58
2023,4,212305,K,deslig,23,6779.25
2023,4,212305,L,adm,1,7000.0
2023,4,212305,L,deslig,2,9229.31
2023,4,212305,M,adm,20,8701.27
2023,4,212305,M,deslig,15,9497.4
2023,4,212305,N,adm,21,7600.24
2023,4,212305,N,deslig,19,7475.83
2023,4,212305,P,adm,2,13650.0
2023,4,212305,P,deslig,1,2240.0
2023,4,212305,Q,deslig,1,9150.92
2023,4,212305,S,adm,1,7919.67
2023,4,212305,S,deslig,1,6061.0
2023,4,212405,A,adm,1,25500.0
2023,4,212405,A,deslig,1,3500.0
2023,4,212405,C,adm,145,8533.86
2023,4,212405,C,deslig,94,8226.02
2023,4,212405,D,adm,7,8452.57
2023,4,212405,D,deslig,1,9052.2
2023,4,212405,F,adm,12,5006.95
2023,4,212405,F,deslig,20,5593.16
2023,4,212405,G,adm,139,6659.69
2023,4,212405,G,deslig,150,7657.16
2023,4,212405,H,adm,27,7007.17
2023,4,212405,H,deslig,19,7189.31
2023,4,212405,I,adm,7,5957.43
2023,4,212405,I,deslig,3,3581.9
2023,4,212405,J,adm,1592,8129.5
2023,4,212405,J,deslig,1563,8244.89
2023,4,212405,K,adm,251,9558.06
2023,4,212405,K,deslig,340,9700.67
2023,4,212405,L,adm,16,8463.93
2023,4,212405,L,deslig,11,12956.49
2023,4,212405,M,adm,328,7956.42
2023,4,212405,M,deslig,300,8844.35
2023,4,212405,N,adm,217,7076.24
2023,4,212405,N,deslig,179,7780.88
2023,4,212405,O,adm,3,7688.52
2023,4,212405,P,adm,36,6628.3
2023,4,212405,P,deslig,19,4367.11
2023,4,212405,Q,adm,39,8336.76
2023,4,212405,Q,deslig,79,9637.36
2023,4,212405,R,adm,3,3788.11
2023,4,212405,R,deslig,3,7050.78
2023,4,212405,S,adm,23,6184.23
2023,4,212405,S,deslig,13,9366.38
2023,4,212405,U,deslig,1,3633.24
2023,4,212410,A,adm,1,2681.85
2023,4,212410,A,deslig,1,5798.87
2023,4,212410,C,adm,22,4803.97
2023,4,212410,C,deslig,19,5266.78
2023,4,212410,F,adm,8,3066.15
2023,4,212410,F,deslig,7,4054.23
2023,4,212410,G,adm,57,5117.44
2023,4,212410,G,deslig,68,6018.51
2023,4,212410,H,adm,10,5471.8
2023,4,212410,H,deslig,5,3632.53
2023,4,212410,I,deslig,3,2860.15
2023,4,212410,J,adm,194,5100.18
2023,4,212410,J,deslig,205,6373.02
2023,4,212410,K,adm,26,7186.84
2023,4,212410,K,deslig,28,10287.91
2023,4,212410,L,adm,3,4710.0
